country;pop_urb;export;school_enr
Saint Kitts and Nevis;30.906;0;#N/D
Saint Lucia;18.94;0;#N/D
Saint Pierre and Miquelon;;;#N/D
Saint Vincent and the Grenadines;53.452;0;#N/D
Samoa;17.742;31.5990888;0
San Marino;97.62;164.4786983;60.24052048
Sao Tome and Principe;75.073;0;0
Saudi Arabia;84.508;26.18290495;110.0862808
Senegal;48.6;20.66971776;0
Serbia;56.651;48.23837987;95.08724213
Seychelles;57.972;76.62947378;81.44790649
Sierra Leone;43.372;15.09106999;0
Singapore;100;181.7168089;105.8442993
Slovakia;53.82;85.43677477;#N/D
Slovenia;55.427;77.88301116;114.489212
Solomon Islands;25.128;27.76398756;0
Somalia;46.731;16.91244429;0
South Africa;67.847;27.77801144;100.5111694
South Sudan;20.514;0;0
Spain;81.056;30.62093787;126.1791534
Sri Lanka;18.86;16.09423566;100.3352203
Sudan;35.593;0.435765182;45.86418915
Suriname;66.219;0;82.26363373
Sweden;88.238;44.57965329;151.7045441
Switzerland;73.996;62.34201861;102.5706787
Syria;56.124;0;#N/D
Taiwan;;;#N/D
Tajikistan;27.726;17.32431457;0
Tanzania;35.954;14.29548765;29.43507957
Thailand;52.163;51.57295015;117.7388077
Timor-Leste;31.695;68.7404214;83.61746216
Togo;43.358;22.69364463;0
Tonga;23.104;18.96444008;0
Trinidad and Tobago;53.265;0;0
Tunisia;69.888;37.94673772;0
Turkiye;76.569;28.66485601;104.4788284
Turkmenistan;52.998;0;0
Tuvalu;64.785;0;66.72794342
Uganda;25.553;15.41479854;0
Ukraine;69.757;38.82164629;0
United Arab Emirates;87.299;93.41508906;0
United Kingdom;84.152;28.36227627;120.783577
United States;82.873;10.1628986;99.27558136
Uruguay;95.603;25.0842825;121.176239
Uzbekistan;50.427;24.28806309;94.98806763
Vanuatu;25.665;17.48521396;0
Venezuela;88.325;0;0
Vietnam;38.052;0;0
Virgin Islands (U.S.);96.04;38.5585157;0
Wallis and Futuna;;;#N/D
West Bank and Gaza;77.003;15.35762344;89.48774719
Yemen;38.546;6.262423457;0
Zambia;45.192;46.79016538;0
Zimbabwe;32.303;37.20223492;0
