"Country","GINIcoeff","EduExp","NoEmploy","DemoIndex"
"Philippines",44.4,14.23373985,2.519999981,"6.56"
"Poland",29.7,NA,3.160000086,"6.85"
"Portugal",33.8,NA,6.789999962,"7.90"
"Qatar",41.1,9.319160461,0.214000002,"3.24"
"Republic of the Congo",48.9,18.28824615,22.84300041,"3.11"
"Romania",36,NA,5.03000021,"6.40"
"Russia",37.5,NA,NA,"3.31"
"Rwanda",43.7,10.78352451,1.485000014,"3.10"
"Saint Lucia",51.2,NA,NA,NA
"Samoa",38.7,16.21499062,9.149000168,NA
"Sao Tome and Principe",56.3,16.12594032,15.74600029,NA
"Saudi Arabia",45.9,19.05945206,7.449999809,"2.08"
"Senegal",40.3,22.06278038,3.622999907,"5.67"
"Serbia",36.2,NA,9.010000229,"6.22"
"Seychelles",46.8,9.168009758,NA,NA
"Sierra Leone",35.7,34.24419022,5.195000172,"4.86"
"Singapore",45.9,11.91199303,4.099999905,"6.03"
"Slovakia",25.2,NA,6.690000057,"6.97"
"Slovenia",24.2,NA,4.96999979,"7.54"
"Solomon Islands",37.1,31.88999939,0.916000009,NA
"South Africa",63,19.52728081,29.21999931,"7.05"
"South Korea",35.4,NA,3.930000067,"8.01"
"South Sudan",46,NA,14.02999973,NA
"Spain",34.7,NA,15.52999973,"8.12"
"Sri Lanka",39.8,NA,5.877999783,"6.14"
"Sudan",34.2,NA,19.64900017,"2.54"
"Sweden",28.8,NA,8.289999962,"9.26"
"Switzerland",32.7,NA,4.820000172,"8.83"
"Taiwan",33.6,NA,NA,"8.94"
"Tajikistan",34,17.77205086,7.583000183,"1.94"
"Tanzania",40.5,NA,2.528000116,"5.10"
"Thailand",36.4,12.06492233,1.100000024,"6.04"
"The Gambia",35.9,NA,11.08100033,"8.28"
"Togo",43.1,NA,3.944999933,"2.80"
"Tonga",37.6,15.52814007,3.628000021,NA
"Tunisia",32.8,NA,16.59199905,"6.59"
"Turkey",28.7,NA,13.10999966,"4.48"
"Turkey (Turkiye)",41.9,NA,NA,NA
"Turkmenistan",40.8,27.99839973,4.951000214,"1.72"
"Tuvalu",39.1,NA,NA,NA
"Uganda",42.8,11.25,2.767999887,"4.94"
"Ukraine",26.1,13.08636761,9.131999969,"5.81"
"United Arab Emirates",32.5,11.70623016,3.187999964,"2.70"
"United Kingdom",34.8,NA,4.472000122,"8.54"
"United States",41.1,NA,8.050000191,"7.92"
"Uruguay",39.7,16.36347961,10.35000038,"8.61"
"Uzbekistan",36.8,20.53565025,7.040999889,"2.12"
"Vanuatu",37.6,5.052800179,2.118999958,NA
"Venezuela",39,NA,6.626999855,"2.76"
"Vietnam",35.7,14.4071703,2.390000105,"2.94"
"West Bank",33.7,NA,NA,NA
"Yemen",36.7,NA,13.39099979,"1.95"
"Zambia",57.1,12.37802029,12.84799957,"4.86"
"Zimbabwe",44.3,NA,5.350999832,"3.16"
