Belarús,BLR,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9985200167","0,7300000191","0,7057800293","0,8452299833","0,7221000195","0,7087600231","0,6208999753","0,6114699841","0,6275900006","0,6785200238","0,6216700077","0,6044300199","0,5489699841",
Belice,BLZ,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermudas,BMU,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,05885000154",,,,,,,,,"0,1823499948","0,2285600007","0,2269300073",
Bolivia,BOL,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3254399896","0,3157700002","0,2949500084","0,2983599901","0,287440002","0,2935799956","0,2766300142",,,,"0,1570000052",,,
Brasil,BRA,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,047510028","1,061980009","1,009680033","0,9993900061","0,9634299874","1,002460003","1,118659973","1,167690039",,
Barbados,BRB,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,01592000015","0,01841999963","0,03700999916",,,"0,2776300013",,
Bhután,BTN,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5328599811",,,,
República Centroafricana,CAF,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadá,CAN,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,612089992","1,613860011","1,710510015","1,749850035","1,858479977","2,021169901","1,971709967","1,967810035","1,997339964","1,971269965","1,91742003","1,679170012","1,697810054",
Europa Central y del Báltico,CEB,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7239238438","0,7497156822","0,7323144519","0,7366924494","0,7451133303","0,7497614869","0,738816786","0,7306646995","0,7341324176","0,7352553731","0,825375649","1,194201822","1,313856248",
